record_id,station_id,plant,region,gas_type,supply_date,supply_volume,revenue,status
97,S1097,Plant_C,East,PNG,2023-05-13,,,
98,S1098,Plant_A,East,,2023-10-23,618.69,,
99,S1099,Plant_A,,LNG,2023-11-02,496.19,72.39,Inactive
100,S1100,Plant_D,West,PNG,2023-02-14,561.01,,Active
101,S1101,Plant_B,West,,2023-07-09,,,Inactive
102,S1102,Plant_C,West,CNG,2023-09-08,,,Inactive
103,S1103,Plant_A,North,CNG,2023-05-10,,278.13,Inactive
104,S1104,Plant_B,North,LNG,2023-12-11,,,Inactive
105,S1105,Plant_D,South,PNG,2023-04-13,,257.76,
106,S1106,Plant_A,South,LNG,2023-01-05,716.27,,
107,S1107,Plant_A,South,CNG,2023-04-18,475.14,424.85,
108,S1108,Plant_B,West,LNG,2023-09-23,795.16,347.04,
109,S1109,Plant_D,West,CNG,2023-02-05,557.91,,Inactive
110,S1110,Plant_C,,,2023-12-06,479.17,,
111,S1111,Plant_A,,PNG,2023-06-25,,87.73,
112,S1112,Plant_B,West,CNG,2023-08-04,,156.81,Inactive
113,S1113,Plant_C,South,LNG,2023-02-27,718.76,,Active
114,S1114,Plant_A,South,PNG,2023-04-25,403.15,,Active
115,S1115,Plant_A,West,CNG,2023-07-18,892.4,312.86,
116,S1116,Plant_C,,,2023-06-01,,455.5,
117,S1117,Plant_B,West,LNG,2023-12-28,188.67,,
118,S1118,Plant_D,East,,2023-12-19,,477.44,Inactive
119,S1119,Plant_A,North,,2023-08-18,288.43,460.99,
120,S1120,Plant_B,East,PNG,2023-02-27,,,Active
121,S1121,Plant_A,North,LNG,2023-09-18,,,Active
122,S1122,Plant_C,North,,2023-03-19,,,Inactive
123,S1123,Plant_A,North,PNG,2023-06-24,,479.74,Inactive
124,S1124,Plant_B,South,LNG,2023-02-10,,58.69,
125,S1125,Plant_D,North,CNG,2023-08-24,679.47,167.98,Active
126,S1126,Plant_B,East,,2023-11-27,,,Active
127,S1127,Plant_D,South,CNG,2023-12-23,,245.66,Active
128,S1128,Plant_C,North,PNG,2023-12-13,,343.35,
129,S1129,Plant_B,South,,2023-03-28,,,
130,S1130,Plant_D,West,,2023-09-21,,121.2,Inactive
131,S1131,Plant_C,South,,2023-10-21,,293.92,Inactive
132,S1132,Plant_B,North,LNG,2023-10-24,797.48,398.51,Active
133,S1133,Plant_C,East,CNG,2023-09-26,748.59,56.38,Active
134,S1134,Plant_D,West,,2023-04-01,459.42,170.62,Active
135,S1135,Plant_A,,CNG,2023-02-09,,442.45,Inactive
136,S1136,Plant_D,East,,2023-12-16,,386.68,Active
137,S1137,Plant_C,East,PNG,2023-03-15,,159.52,Inactive
138,S1138,Plant_C,,CNG,2023-12-01,432.68,292.9,Inactive
139,S1139,Plant_A,West,CNG,2023-08-05,522.93,,Active
140,S1140,Plant_C,North,PNG,2023-08-13,753.82,246.35,
141,S1141,Plant_C,East,PNG,2023-07-22,120.06,220.71,Inactive
142,S1142,Plant_A,North,CNG,2023-01-17,,279.85,Active
143,S1143,Plant_B,West,,2023-07-25,411.69,,
144,S1144,Plant_C,,CNG,2023-05-12,,467.85,
145,S1145,Plant_A,West,CNG,2023-10-07,891.72,169.06,
146,S1146,Plant_D,West,PNG,2023-03-09,,129.88,Active
147,S1147,Plant_A,West,CNG,2023-09-03,202.65,,Inactive
148,S1148,Plant_C,East,PNG,2023-01-02,420.24,54.72,Active
149,S1149,Plant_C,South,CNG,2023-10-18,,,Active
150,S1150,Plant_D,,,2023-09-11,813.46,,
151,S1151,Plant_B,East,,2023-03-15,,270.06,
152,S1152,Plant_D,South,LNG,2023-07-08,269.92,478.41,Active
153,S1153,Plant_A,East,,2023-04-05,,61.33,
154,S1154,Plant_B,West,CNG,2023-03-10,968.8,416.44,
155,S1155,Plant_A,East,CNG,2023-12-26,,,Active
156,S1156,Plant_C,North,LNG,2023-01-08,245.22,496.6,Active
157,S1157,Plant_D,East,PNG,2023-05-26,,421.05,Active
158,S1158,Plant_D,West,CNG,2023-06-20,,283.69,Active
159,S1159,Plant_D,South,,2023-06-23,281.33,359.53,Active
160,S1160,Plant_D,North,LNG,2023-01-08,,,Active
161,S1161,Plant_C,North,LNG,2023-12-27,289.37,,Active
162,S1162,Plant_A,East,,2023-08-17,,,Inactive
163,S1163,Plant_B,North,,2023-04-16,885.74,300.14,Active
164,S1164,Plant_B,,CNG,2023-03-19,,,Inactive
165,S1165,Plant_C,North,PNG,2023-01-26,,,Inactive
166,S1166,Plant_B,,LNG,2023-08-18,455.25,,
167,S1167,Plant_C,East,CNG,2023-04-11,782.34,,
168,S1168,Plant_D,,LNG,2023-01-05,,,Inactive
169,S1169,Plant_C,,PNG,2023-06-19,,104.8,Active
170,S1170,Plant_B,West,CNG,2023-01-15,,476.87,Inactive
171,S1171,Plant_D,East,PNG,2023-03-06,413.66,,
172,S1172,Plant_C,North,LNG,2023-03-01,,,Active
173,S1173,Plant_D,East,,2023-09-18,,251.05,
174,S1174,Plant_A,,CNG,2023-09-17,,,Inactive
175,S1175,Plant_C,East,CNG,2023-09-13,833.87,190.67,
176,S1176,Plant_B,East,,2023-05-13,315.27,227.24,Active
177,S1177,Plant_D,West,CNG,2023-08-15,,,Inactive
178,S1178,Plant_A,West,,2023-08-01,,,Active
179,S1179,Plant_B,East,LNG,2023-03-12,122.7,,
180,S1180,Plant_C,West,,2023-08-20,201.7,,Inactive
181,S1181,Plant_A,,,2023-04-11,461.72,,Active
182,S1182,Plant_D,East,CNG,2023-12-13,,154.68,Inactive
183,S1183,Plant_D,West,LNG,2023-10-02,,351.37,
184,S1184,Plant_B,,LNG,2023-02-11,450.21,,Active
185,S1185,Plant_B,West,,2023-04-04,617.52,88.04,Active
186,S1186,Plant_A,East,CNG,2023-11-02,,476.64,
187,S1187,Plant_D,East,,2023-01-11,817.39,86.08,
188,S1188,Plant_C,,LNG,2023-01-19,,221.33,Active
189,S1189,Plant_A,North,LNG,2023-12-27,,,
190,S1190,Plant_A,East,LNG,2023-01-19,,378.91,Active
191,S1191,Plant_C,North,,2023-08-13,,223.69,
192,S1192,Plant_D,East,,2023-01-16,484.39,169.52,Active
193,S1193,Plant_C,North,LNG,2023-04-06,,,
194,S1194,Plant_B,North,CNG,2023-03-01,420.46,,
195,S1195,Plant_B,South,PNG,2023-12-05,,435.65,Active
196,S1196,Plant_B,North,PNG,2023-11-06,,,
197,S1197,Plant_D,East,,2023-04-12,,,
198,S1198,Plant_D,West,PNG,2023-01-26,144.82,469.86,
199,S1199,Plant_C,East,PNG,2023-12-16,248.32,307.26,
200,S1200,Plant_D,North,,2023-06-16,935.03,51.88,
201,S1201,Plant_C,East,CNG,2023-06-16,,428.42,Inactive
202,S1202,Plant_C,East,CNG,2023-10-16,774.68,393.5,
203,S1203,Plant_C,West,CNG,2023-08-10,303.22,,
204,S1204,Plant_C,,CNG,2023-04-22,,303.36,Active
205,S1205,Plant_C,,,2023-08-16,,406.94,
206,S1206,Plant_A,North,CNG,2023-06-20,901.9,299.71,Inactive
207,S1207,Plant_C,East,,2023-06-03,369.64,428.66,Inactive
208,S1208,Plant_B,West,PNG,2023-12-20,,490.85,Active
209,S1209,Plant_C,,LNG,2023-04-03,,,Inactive
210,S1210,Plant_B,East,PNG,2023-04-18,,84.75,Inactive
211,S1211,Plant_C,West,PNG,2023-03-17,864.52,489.3,
212,S1212,Plant_A,South,LNG,2023-06-26,,,Inactive
213,S1213,Plant_A,West,CNG,2023-01-27,504.69,495.37,
214,S1214,Plant_C,,LNG,2023-08-28,,,Active
215,S1215,Plant_A,North,LNG,2023-12-19,714.93,279.01,
216,S1216,Plant_A,,LNG,2023-09-06,,,
217,S1217,Plant_C,North,LNG,2023-01-19,,149.45,Active
218,S1218,Plant_D,South,,2023-04-14,,,Inactive
219,S1219,Plant_A,East,CNG,2023-11-22,,,Inactive
220,S1220,Plant_A,West,LNG,2023-04-25,,,Inactive
221,S1221,Plant_D,North,PNG,2023-07-23,,197.82,
222,S1222,Plant_D,South,PNG,2023-07-23,,262.98,
223,S1223,Plant_A,South,LNG,2023-03-02,,57.28,Active
224,S1224,Plant_A,,PNG,2023-05-02,911.26,,Inactive
225,S1225,Plant_A,North,PNG,2023-07-19,223.34,,Inactive
226,S1226,Plant_A,,LNG,2023-10-20,,,Active
227,S1227,Plant_C,South,CNG,2023-10-06,,,Active
228,S1228,Plant_B,,LNG,2023-02-16,490.39,,
229,S1229,Plant_D,South,CNG,2023-01-14,485.86,341.24,Active
230,S1230,Plant_D,North,PNG,2023-04-23,,,Inactive
231,S1231,Plant_A,North,CNG,2023-08-21,175.85,87.39,
232,S1232,Plant_A,West,PNG,2023-07-13,132.77,438.0,Inactive
233,S1233,Plant_B,West,CNG,2023-07-14,,138.74,Active
234,S1234,Plant_C,East,PNG,2023-10-18,,,
235,S1235,Plant_D,North,PNG,2023-08-24,,,Active
236,S1236,Plant_D,East,LNG,2023-02-17,205.86,,
237,S1237,Plant_C,South,CNG,2023-06-18,,,
238,S1238,Plant_B,West,LNG,2023-05-01,875.48,,Inactive
239,S1239,Plant_D,South,CNG,2023-10-05,299.98,420.22,
240,S1240,Plant_C,East,CNG,2023-09-12,518.6,,Active
241,S1241,Plant_A,West,CNG,2023-07-25,841.21,,Inactive
242,S1242,Plant_B,West,LNG,2023-02-18,,,Active
243,S1243,Plant_D,East,,2023-01-27,107.52,224.28,Active
244,S1244,Plant_B,North,,2023-11-07,765.47,,
245,S1245,Plant_C,,LNG,2023-08-13,809.96,,
246,S1246,Plant_A,,PNG,2023-11-11,385.53,,Active
247,S1247,Plant_B,North,PNG,2023-01-23,759.35,190.38,Active
248,S1248,Plant_A,West,CNG,2023-06-01,178.56,363.28,Inactive
249,S1249,Plant_A,South,LNG,2023-12-13,153.94,,Inactive
250,S1250,Plant_A,East,PNG,2023-04-03,427.41,,Inactive
251,S1251,Plant_B,East,CNG,2023-10-15,,451.03,Active
252,S1252,Plant_A,,PNG,2023-12-05,593.12,214.94,Active
253,S1253,Plant_D,West,PNG,2023-12-03,,306.67,Inactive
254,S1254,Plant_D,South,,2023-11-18,,167.87,Inactive
255,S1255,Plant_C,West,,2023-07-09,104.8,78.36,
256,S1256,Plant_D,West,LNG,2023-03-15,,,
257,S1257,Plant_A,East,PNG,2023-03-11,969.17,400.86,Inactive
258,S1258,Plant_C,North,,2023-03-03,,,Inactive
259,S1259,Plant_D,East,CNG,2023-09-15,,439.99,Active
260,S1260,Plant_A,West,LNG,2023-09-28,989.15,406.46,
261,S1261,Plant_A,South,CNG,2023-10-01,,225.83,Inactive
262,S1262,Plant_C,,CNG,2023-06-13,,451.05,Inactive
263,S1263,Plant_A,East,LNG,2023-05-05,126.71,,Inactive
264,S1264,Plant_A,West,LNG,2023-07-03,177.38,,
265,S1265,Plant_A,West,,2023-06-20,181.66,136.9,
266,S1266,Plant_C,North,,2023-08-10,,320.33,
267,S1267,Plant_B,West,LNG,2023-05-06,442.49,,Inactive
268,S1268,Plant_A,South,PNG,2023-03-11,374.37,,
269,S1269,Plant_D,East,PNG,2023-12-10,,362.31,
270,S1270,Plant_D,East,LNG,2023-03-19,,277.61,Active
271,S1271,Plant_B,East,CNG,2023-07-01,904.07,149.26,Inactive
272,S1272,Plant_A,,,2023-04-10,,,
273,S1273,Plant_D,,CNG,2023-08-17,,487.54,
274,S1274,Plant_C,East,LNG,2023-07-02,,,
275,S1275,Plant_C,North,PNG,2023-01-25,299.31,319.14,Active
276,S1276,Plant_B,West,,2023-01-14,,387.15,Active
277,S1277,Plant_C,West,PNG,2023-07-10,689.53,,
278,S1278,Plant_A,South,CNG,2023-09-21,397.08,,
279,S1279,Plant_A,East,LNG,2023-03-04,,116.34,Active
280,S1280,Plant_D,South,PNG,2023-02-24,,441.5,Inactive
281,S1281,Plant_B,East,LNG,2023-02-07,,,Active
282,S1282,Plant_C,West,CNG,2023-03-17,,407.23,Active
283,S1283,Plant_C,North,CNG,2023-05-07,135.77,440.42,
284,S1284,Plant_A,South,PNG,2023-08-05,701.76,222.69,Inactive
285,S1285,Plant_A,North,LNG,2023-05-18,368.13,335.72,Inactive
286,S1286,Plant_C,South,LNG,2023-09-17,,,Inactive
287,S1287,Plant_C,North,CNG,2023-11-19,,,Inactive
288,S1288,Plant_D,South,PNG,2023-03-08,983.57,,Active
289,S1289,Plant_B,South,CNG,2023-07-05,,,Active
290,S1290,Plant_B,West,CNG,2023-07-07,,470.79,
291,S1291,Plant_D,,PNG,2023-09-14,327.84,206.99,
292,S1292,Plant_D,North,CNG,2023-11-07,,269.23,
293,S1293,Plant_A,East,CNG,2023-04-10,,,Active
294,S1294,Plant_A,,,2023-12-24,,,
295,S1295,Plant_D,South,CNG,2023-03-01,,198.68,Inactive
296,S1296,Plant_B,East,,2023-07-28,,,Active
297,S1297,Plant_B,,,2023-11-15,334.85,317.25,Active
298,S1298,Plant_A,North,PNG,2023-05-08,,,Inactive
299,S1299,Plant_A,West,LNG,2023-09-23,,93.27,Active
300,S1300,Plant_A,West,,2023-06-14,,,
301,S1301,Plant_A,,PNG,2023-11-17,926.9,295.47,
302,S1302,Plant_C,South,PNG,2023-04-27,,243.6,
303,S1303,Plant_A,North,,2023-01-28,434.4,,
304,S1304,Plant_D,South,CNG,2023-08-18,,,
305,S1305,Plant_D,,CNG,2023-05-04,743.69,147.92,Inactive
306,S1306,Plant_A,East,LNG,2023-01-05,,69.74,Inactive
307,S1307,Plant_D,South,LNG,2023-11-09,,,
308,S1308,Plant_B,East,,2023-12-08,578.57,,Active
309,S1309,Plant_D,South,CNG,2023-06-08,,,Inactive
310,S1310,Plant_A,,CNG,2023-05-27,,314.33,
311,S1311,Plant_D,East,PNG,2023-10-18,,,
312,S1312,Plant_C,East,LNG,2023-10-25,,479.67,
313,S1313,Plant_B,,LNG,2023-09-28,310.64,399.2,Active
314,S1314,Plant_D,North,,2023-06-25,,446.62,Active
315,S1315,Plant_C,South,LNG,2023-09-22,125.18,373.01,
316,S1316,Plant_D,North,LNG,2023-08-28,460.55,,Inactive
317,S1317,Plant_C,North,LNG,2023-06-04,,,Active
318,S1318,Plant_B,,CNG,2023-12-20,223.73,,Active
319,S1319,Plant_B,,,2023-08-12,422.47,,
320,S1320,Plant_B,West,LNG,2023-01-15,372.54,173.02,Inactive
321,S1321,Plant_A,North,LNG,2023-11-20,683.6,,Inactive
322,S1322,Plant_C,North,,2023-10-27,731.37,,Active
323,S1323,Plant_D,South,LNG,2023-12-04,,137.61,
324,S1324,Plant_C,East,PNG,2023-04-20,,138.26,
325,S1325,Plant_C,,,2023-09-11,,275.24,Active
326,S1326,Plant_D,,PNG,2023-10-14,,,Active
327,S1327,Plant_C,East,PNG,2023-03-07,,124.54,Inactive
328,S1328,Plant_A,,LNG,2023-02-01,321.97,252.43,
329,S1329,Plant_C,East,,2023-02-18,,,Active
330,S1330,Plant_D,North,LNG,2023-10-08,156.89,484.92,
331,S1331,Plant_B,West,CNG,2023-04-26,661.89,57.17,
332,S1332,Plant_A,,PNG,2023-04-18,849.85,,Active
333,S1333,Plant_D,North,,2023-11-18,284.08,,Inactive
334,S1334,Plant_A,,LNG,2023-05-17,,418.03,
335,S1335,Plant_B,West,LNG,2023-08-25,629.29,455.02,
336,S1336,Plant_D,West,CNG,2023-05-16,,74.63,
337,S1337,Plant_A,West,PNG,2023-06-25,,,
338,S1338,Plant_A,,LNG,2023-01-22,479.4,,Active
339,S1339,Plant_A,,,2023-07-09,,350.07,Inactive
340,S1340,Plant_B,North,PNG,2023-01-03,,,Inactive
341,S1341,Plant_A,,PNG,2023-12-24,185.87,,
342,S1342,Plant_D,West,PNG,2023-02-17,,167.77,Inactive
343,S1343,Plant_D,,PNG,2023-03-22,344.97,395.07,
344,S1344,Plant_D,,LNG,2023-01-03,,,Active
345,S1345,Plant_C,North,,2023-02-13,,199.78,Inactive
346,S1346,Plant_B,South,,2023-12-06,,,Active
347,S1347,Plant_C,,CNG,2023-05-23,533.29,337.54,Inactive
348,S1348,Plant_A,West,CNG,2023-07-07,442.63,,Inactive
349,S1349,Plant_C,West,,2023-10-18,317.61,,Inactive
350,S1350,Plant_A,South,CNG,2023-10-28,597.11,306.48,Active
351,S1351,Plant_D,North,PNG,2023-04-23,,,Active
352,S1352,Plant_C,West,PNG,2023-12-19,,,Inactive
353,S1353,Plant_A,North,LNG,2023-02-11,921.24,,
354,S1354,Plant_A,South,CNG,2023-10-10,,,Active
355,S1355,Plant_D,,PNG,2023-12-19,,,Active
356,S1356,Plant_B,East,CNG,2023-03-07,,179.73,Inactive
357,S1357,Plant_B,,PNG,2023-11-12,,,
358,S1358,Plant_B,East,,2023-06-08,972.6,,Inactive
359,S1359,Plant_D,South,CNG,2023-03-12,,248.6,
360,S1360,Plant_B,,PNG,2023-06-12,,,Inactive
361,S1361,Plant_D,West,LNG,2023-04-04,,,Active
362,S1362,Plant_D,West,PNG,2023-09-03,784.12,,Inactive
363,S1363,Plant_B,,CNG,2023-02-04,274.76,420.43,Inactive
364,S1364,Plant_D,East,,2023-08-21,,223.01,Active
365,S1365,Plant_C,,PNG,2023-10-10,,,Inactive
366,S1366,Plant_D,East,PNG,2023-02-20,771.3,328.94,Active
367,S1367,Plant_C,,LNG,2023-11-20,338.74,192.48,Active
368,S1368,Plant_B,East,,2023-06-19,192.91,,Inactive
369,S1369,Plant_D,West,,2023-02-08,,329.57,
370,S1370,Plant_C,,LNG,2023-11-27,,89.64,Active
371,S1371,Plant_D,East,LNG,2023-02-17,,441.35,Active
372,S1372,Plant_A,,LNG,2023-07-13,,418.88,Active
373,S1373,Plant_B,West,LNG,2023-08-03,,435.97,Inactive
374,S1374,Plant_C,North,PNG,2023-07-14,,,Active
375,S1375,Plant_D,West,PNG,2023-01-09,,157.65,
376,S1376,Plant_D,East,PNG,2023-06-17,887.04,351.74,
377,S1377,Plant_B,East,CNG,2023-06-01,982.62,,Active
378,S1378,Plant_D,,PNG,2023-01-22,225.36,,
379,S1379,Plant_B,,CNG,2023-12-24,,247.64,Active
380,S1380,Plant_C,North,CNG,2023-08-24,864.39,434.48,Active
381,S1381,Plant_C,North,CNG,2023-08-11,,,
382,S1382,Plant_C,North,,2023-12-17,139.84,,Inactive
383,S1383,Plant_D,,,2023-11-14,,439.03,Active
384,S1384,Plant_B,West,CNG,2023-09-21,427.07,,Inactive
385,S1385,Plant_C,West,CNG,2023-01-14,604.63,326.6,Inactive
386,S1386,Plant_D,South,,2023-12-23,,,Active
387,S1387,Plant_D,North,,2023-09-21,418.4,,Inactive
388,S1388,Plant_B,North,LNG,2023-09-28,837.38,159.58,
389,S1389,Plant_A,,,2023-12-14,495.49,482.19,Inactive
390,S1390,Plant_A,South,LNG,2023-08-01,,,
391,S1391,Plant_C,South,,2023-08-13,,,
392,S1392,Plant_A,West,PNG,2023-09-18,,,
393,S1393,Plant_C,West,,2023-11-11,,,Inactive
394,S1394,Plant_B,North,LNG,2023-06-02,,159.83,Active
395,S1395,Plant_D,North,CNG,2023-12-10,,,Inactive
396,S1396,Plant_D,West,PNG,2023-05-10,895.74,,Inactive
397,S1397,Plant_D,West,LNG,2023-07-26,,156.7,
398,S1398,Plant_D,East,LNG,2023-12-02,552.49,285.87,Inactive
399,S1399,Plant_C,South,PNG,2023-05-01,600.73,,Active
400,S1400,Plant_A,East,LNG,2023-08-02,433.01,,Inactive
401,S1401,Plant_C,North,PNG,2023-09-18,472.83,310.06,
402,S1402,Plant_D,East,LNG,2023-01-27,,,
403,S1403,Plant_A,,,2023-03-26,,334.84,Active
404,S1404,Plant_D,South,,2023-04-05,,,Inactive
405,S1405,Plant_A,North,,2023-08-17,,,Active
406,S1406,Plant_B,West,,2023-11-18,924.39,141.07,
407,S1407,Plant_C,South,CNG,2023-09-24,549.79,,Inactive
408,S1408,Plant_D,East,CNG,2023-06-04,,,Active
409,S1409,Plant_D,South,LNG,2023-06-26,,,Active
410,S1410,Plant_D,West,CNG,2023-05-19,,497.96,Active
411,S1411,Plant_A,North,,2023-05-03,,,Active
412,S1412,Plant_A,South,LNG,2023-05-11,790.46,,Active
413,S1413,Plant_D,East,,2023-01-26,535.14,196.83,Inactive
414,S1414,Plant_B,North,PNG,2023-09-11,503.76,,Active
415,S1415,Plant_D,,PNG,2023-07-01,478.49,,
416,S1416,Plant_C,East,PNG,2023-01-21,,325.37,Inactive
417,S1417,Plant_A,East,CNG,2023-06-13,,,Inactive
418,S1418,Plant_A,East,,2023-08-06,,,
419,S1419,Plant_C,North,LNG,2023-11-25,968.33,169.11,Inactive
420,S1420,Plant_B,West,,2023-03-14,389.49,,Active
421,S1421,Plant_A,West,,2023-05-18,783.9,,Inactive
422,S1422,Plant_B,South,LNG,2023-12-09,990.51,176.39,Inactive
423,S1423,Plant_B,North,CNG,2023-12-13,365.88,149.37,Inactive
424,S1424,Plant_A,West,CNG,2023-08-27,175.75,,
425,S1425,Plant_A,East,PNG,2023-11-02,,,Inactive
426,S1426,Plant_A,West,LNG,2023-10-22,931.83,,
427,S1427,Plant_A,East,LNG,2023-04-23,363.47,468.78,Active
428,S1428,Plant_C,East,PNG,2023-05-12,,278.77,Active
429,S1429,Plant_C,,,2023-10-21,,,Inactive
430,S1430,Plant_A,North,LNG,2023-12-20,887.58,,Inactive
431,S1431,Plant_C,North,CNG,2023-11-15,789.54,,Active
432,S1432,Plant_D,East,LNG,2023-03-18,830.89,68.75,
433,S1433,Plant_D,North,LNG,2023-11-12,329.57,51.8,
434,S1434,Plant_A,East,,2023-03-23,995.17,192.4,Active
